Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 11:57:35.334211 	Bid      	BTC/USDT   	Offers: 9541.09946718 USDT/unit	Requests: 0.0020961945 BTC 	
2020/06/01 11:57:35.334211 	Ask      	ETH/BTC    	Offers: 2.0000000298 ETH   	Requests: 0.02482736 BTC/unit	
2020/06/01 11:57:35.334211 	Ask      	ETH/USDT   	Offers: 1.6000000179 ETH   	Requests: 237.03738486 USDT/unit	
2020/06/01 11:57:35.334211 	Bidsale  	BTC/USDT   	Paid 20.000000298 USDT     	Received 0.0020961945 BTC  	
2020/06/01 11:57:35.334211 	Asksale  	ETH/BTC    	Paid 2.0000000298 ETH      	Received 0.0496547207 BTC  	
2020/06/01 11:57:35.334211 	Asksale  	ETH/USDT   	Paid 1.6000000179 ETH      	Received 379.2598200146 USDT	
2020/06/01 11:57:40.339453 	Ask      	BTC/USDT   	Offers: 0.0303501835 BTC   	Requests: 9543.18510511 USDT/unit	
2020/06/01 11:57:40.339453 	Bid      	DOGE/USDT  	Offers: 0.00257726 USDT/unit	Requests: 23491.6003500521 DOGE	
2020/06/01 11:57:40.339453 	Bid      	ETH/BTC    	Offers: 0.02484672 BTC/unit	Requests: 0.9771972603 ETH 	
2020/06/01 11:57:40.339453 	Ask      	ETH/USDT   	Offers: 0.6000000089 ETH   	Requests: 237.15288086 USDT/unit	
2020/06/01 11:57:40.339453 	Asksale  	BTC/USDT   	Paid 0.0303501835 BTC      	Received 289.637419131 USDT	
2020/06/01 11:57:40.339453 	Bidsale  	DOGE/USDT  	Paid 60.5439619182 USDT    	Received 23491.6003500521 DOGE	
2020/06/01 11:57:40.339453 	Bidsale  	ETH/BTC    	Paid 0.0242801467 BTC      	Received 0.9771972603 ETH  	
2020/06/01 11:57:40.339453 	Asksale  	ETH/USDT   	Paid 0.6000000089 ETH      	Received 142.2917306363 USDT	
2020/06/01 11:57:45.344474 	Ask      	BTC/USDT   	Offers: 0.0194241173 BTC   	Requests: 9543.18510512 USDT/unit	
2020/06/01 11:57:45.344474 	Bid      	ETH/BTC    	Offers: 0.02484247 BTC/unit	Requests: 0.6255132352 ETH 	
2020/06/01 11:57:45.344474 	Bid      	ETH/USDT   	Offers: 237.22301822 USDT/unit	Requests: 0.7003072688 ETH 	
2020/06/01 11:57:45.344474 	Asksale  	BTC/USDT   	Paid 0.0194241173 BTC      	Received 185.3679468629 USDT	
2020/06/01 11:57:45.344474 	Bidsale  	ETH/BTC    	Paid 0.0155392938 BTC      	Received 0.6255132352 ETH  	
2020/06/01 11:57:45.344474 	Bidsale  	ETH/USDT   	Paid 166.1290039886 USDT   	Received 0.7003072688 ETH  	
2020/06/01 11:57:50.349922 	Bid      	ETH/USDT   	Offers: 237.22301821 USDT/unit	Requests: 0.7165274007 ETH 	
2020/06/01 11:57:50.349922 	Bidsale  	ETH/USDT   	Paid 169.9767926208 USDT   	Received 0.7165274007 ETH  	
2020/06/01 11:57:55.353915 	Bid      	BTC/USDT   	Offers: 9544.04032181 USDT/unit	Requests: 0.0116993102 BTC 	
2020/06/01 11:57:55.353915 	Bidsale  	BTC/USDT   	Paid 111.6586880412 USDT   	Received 0.0116993102 BTC  	
2020/06/01 11:58:00.359004 	Ask      	BTC/USDT   	Offers: 0.0078249301 BTC   	Requests: 9544.03437925 USDT/unit	
2020/06/01 11:58:00.359004 	Bid      	ETH/USDT   	Offers: 237.11510879 USDT/unit	Requests: 0.4793017882 ETH 	
