Initial wallet: 

BTC: 0.1
DOGE: 1000
ETH: 10
USDT: 100


2020/06/01 11:57:35.334211 	Bid      	BTC/USDT   	Offers: 9541.09946718 USDT/unit	Requests: 0.0020961945 BTC 	
2020/06/01 11:57:35.334211 	Ask      	ETH/BTC    	Offers: 2.0000000298 ETH   	Requests: 0.02482736 BTC/unit	
2020/06/01 11:57:35.334211 	Ask      	ETH/USDT   	Offers: 1.6000000179 ETH   	Requests: 237.03738486 USDT/unit	
2020/06/01 11:57:40.339453 	Ask      	BTC/USDT   	Offers: 0.0200000003 BTC   	Requests: 9543.18510511 USDT/unit	
2020/06/01 11:57:40.339453 	Bid      	DOGE/USDT  	Offers: 0.00257726 USDT/unit	Requests: 6208.1436016599 DOGE	
2020/06/01 11:57:40.339453 	Bid      	ETH/BTC    	Offers: 0.02484672 BTC/unit	Requests: 0.6439481822 ETH 	
2020/06/01 11:57:40.339453 	Ask      	ETH/USDT   	Offers: 0.6000000089 ETH   	Requests: 237.15288086 USDT/unit	
2020/06/01 11:57:40.339453 	Bidsale  	ETH/BTC    	Paid 0.0159875333 BTC      	Received 0.6439481822 ETH  	
2020/06/01 11:57:40.339453 	Asksale  	ETH/BTC    	Paid 1.3560518476 ETH      	Received 0.0336671874 BTC  	
2020/06/01 11:57:40.339453 	Asksale  	ETH/USDT   	Paid 0.33155843 ETH        	Received 78.5917431755 USDT	
2020/06/01 11:57:40.339453 	Asksale  	ETH/USDT   	Paid 1.2684415879 ETH      	Received 300.6680768391 USDT	
2020/06/01 11:57:45.344474 	Ask      	BTC/USDT   	Offers: 0.0195334377 BTC   	Requests: 9543.18510512 USDT/unit	
2020/06/01 11:57:45.344474 	Bid      	ETH/BTC    	Offers: 0.02484247 BTC/unit	Requests: 0.6290336702 ETH 	
2020/06/01 11:57:45.344474 	Bid      	ETH/USDT   	Offers: 237.22301822 USDT/unit	Requests: 0.3737072646 ETH 	
2020/06/01 11:57:45.344474 	Bidsale  	DOGE/USDT  	Paid 16.0000001788 USDT    	Received 6208.1436016599 DOGE	
2020/06/01 11:57:45.344474 	Bidsale  	ETH/BTC    	Paid 0.0156255109 BTC      	Received 0.6290336702 ETH  	
2020/06/01 11:57:45.344474 	Bidsale  	ETH/USDT   	Paid 88.6172543337 USDT    	Received 0.3737072646 ETH  	
2020/06/01 11:57:50.349922 	Bid      	ETH/USDT   	Offers: 237.22301821 USDT/unit	Requests: 0.2989658105 ETH 	
2020/06/01 11:57:50.349922 	Asksale  	BTC/USDT   	Paid 0.0200000003 BTC      	Received 190.8637049463 USDT	
2020/06/01 11:57:50.349922 	Bidsale  	ETH/USDT   	Paid 70.8938032058 USDT    	Received 0.2989658105 ETH  	
2020/06/01 11:57:55.353915 	Bid      	BTC/USDT   	Offers: 9544.04032181 USDT/unit	Requests: 0.0099444256 BTC 	
2020/06/01 11:57:55.353915 	Bidsale  	BTC/USDT   	Paid 94.9014942429 USDT    	Received 0.0099444256 BTC  	
2020/06/01 11:57:55.353915 	Asksale  	BTC/USDT   	Paid 0.0095890121 BTC      	Received 91.5097172317 USDT	
2020/06/01 11:58:00.359004 	Ask      	BTC/USDT   	Offers: 0.0078249301 BTC   	Requests: 9544.03437925 USDT/unit	
2020/06/01 11:58:00.359004 	Bid      	ETH/USDT   	Offers: 237.11510879 USDT/unit	Requests: 0.3974016798 ETH 	
2020/06/01 11:58:05.363442 	Bid      	BTC/USDT   	Offers: 9539.74726503 USDT/unit	Requests: 0.0079020913 BTC 	
